prediction,name
0,nonAMP63134
1,AMP1029
1,AMP3055
0,nonAMP146648
1,AMP2577
0,nonAMP93727
0,nonAMP15216
0,nonAMP110538
1,AMP831
0,nonAMP160527
0,nonAMP142715
0,nonAMP29614
0,AMP2839
1,AMP3194
1,AMP169
1,AMP914
0,nonAMP88574
0,nonAMP77617
0,nonAMP94920
0,nonAMP106415
1,AMP3234
0,AMP1464
1,AMP341
0,nonAMP4436
1,AMP868
0,nonAMP49880
0,nonAMP157395
0,nonAMP141471
1,AMP182
0,AMP1743
0,nonAMP39570
1,AMP3240
1,AMP899
0,nonAMP87092
0,AMP1661
0,nonAMP1182
0,nonAMP64653
0,AMP956
0,nonAMP142376
1,nonAMP9151
0,nonAMP79563
0,nonAMP88590
0,nonAMP125490
1,AMP1139
0,nonAMP137464
0,nonAMP155280
0,nonAMP134694
1,AMP1801
0,nonAMP163061
1,AMP2200
0,nonAMP128193
0,nonAMP77370
1,AMP3019
1,AMP2255
1,AMP1965
1,AMP377
0,nonAMP90319
1,nonAMP162464
0,nonAMP75147
1,AMP1927
1,AMP391
0,nonAMP153299
0,nonAMP36634
0,nonAMP161611
1,AMP686
1,AMP2591
0,nonAMP162009
0,AMP2303
1,AMP2061
0,nonAMP9395
0,nonAMP92679
1,AMP2100
1,nonAMP12511
1,AMP2084
0,nonAMP55120
1,AMP2322
0,nonAMP12331
0,nonAMP119174
1,AMP1703
1,AMP1212
1,AMP1877
0,nonAMP157857
1,AMP2780
1,AMP733
0,AMP2558
1,AMP2583
0,nonAMP21579
1,AMP1852
1,AMP1090
1,AMP1555
0,nonAMP92805
1,AMP2046
1,AMP338
0,nonAMP164802
1,AMP223
1,nonAMP99338
0,nonAMP5437
1,nonAMP29639
0,nonAMP95566
1,nonAMP35696
1,AMP1914
0,nonAMP35479
1,AMP1017
1,AMP2327
1,AMP2994
1,AMP1124
1,AMP939
1,AMP1276
1,AMP1785
0,nonAMP51214
1,AMP2330
0,nonAMP42281
1,AMP1301
0,nonAMP45203
0,nonAMP69149
0,nonAMP4573
1,AMP307
1,AMP1722
1,AMP1856
1,nonAMP58851
1,AMP521
1,AMP961
1,AMP256
0,nonAMP152795
1,AMP1526
0,nonAMP86042
1,AMP1897
0,AMP218
1,AMP1538
0,nonAMP123468
1,AMP1061
1,AMP2309
1,AMP3023
0,nonAMP150153
1,nonAMP163530
1,AMP1176
1,AMP342
0,nonAMP116576
1,nonAMP166772
0,nonAMP104052
0,nonAMP164508
1,AMP1461
1,AMP319
0,nonAMP166247
1,AMP1683
1,nonAMP59383
1,AMP1155
1,AMP2507
1,AMP1088
1,nonAMP65178
0,nonAMP148969
1,AMP3149
0,nonAMP165185
0,nonAMP148611
0,nonAMP19034
0,nonAMP97197
0,nonAMP144930
1,AMP206
0,nonAMP153562
1,AMP2957
0,nonAMP36136
1,AMP2350
1,AMP429
0,nonAMP16616
0,nonAMP8342
0,nonAMP1886
1,nonAMP100139
0,nonAMP52169
1,nonAMP89709
0,nonAMP96149
1,AMP2467
1,AMP2912
0,nonAMP77880
0,nonAMP142583
0,AMP2193
0,AMP1067
0,nonAMP98940
1,AMP1541
0,nonAMP17645
1,AMP2938
0,nonAMP135296
0,nonAMP122661
1,AMP1264
1,AMP2295
0,nonAMP2642
1,AMP241
1,AMP2965
1,AMP2961
0,AMP3252
1,AMP381
